"uid","domainID","siteID","plotID","date","dayOfYear","individualID","taxonID","scientificName","identificationQualifier","growthForm","phenophaseName","phenophaseStatus","phenophaseIntensityDefinition","phenophaseIntensity","samplingProtocol","measuredBy","recordedBy","remarks","duplicateIndividualDayStatusQF"
"C4E5D940C8A943FEA88009737E92B078","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06107","TRAE","Triticum aestivum L.",,"Graminoid","Leaves","yes","Percentage of the plant that is green.",">= 95%","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"9E10C465B2CB444097A8E57F9B7B17D2","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06126","TRAE","Triticum aestivum L.",,"Graminoid","Leaves","yes","Percentage of the plant that is green.",">= 95%","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"178942A5EA8A40078B863EFF2A775714","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06117","TRAE","Triticum aestivum L.",,"Graminoid","Leaves","yes","Percentage of the plant that is green.",">= 95%","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"18A2392EB56C41D19365261CBE5541C7","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06120","TRAE","Triticum aestivum L.",,"Graminoid","Leaves","yes","Percentage of the plant that is green.",">= 95%","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"11DC31A384214A9188B9603AA5A79410","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06119","TRAE","Triticum aestivum L.",,"Graminoid","Open flowers","no",,,"NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"0DC7AFBCA76B4A3DBE76457947F79C4B","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06128","TRAE","Triticum aestivum L.",,"Graminoid","Leaves","yes","Percentage of the plant that is green.",">= 95%","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"4CEF893574B24DBA9E8A42AEAB5F6886","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06119","TRAE","Triticum aestivum L.",,"Graminoid","Initial growth","missed",,,"NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"FFF4E8AF07B5482D8812EC54C4C7931A","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06114","TRAE","Triticum aestivum L.",,"Graminoid","Leaves","yes","Percentage of the plant that is green.",">= 95%","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"49249DE0E2C34233AE523B99A74101FB","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06120","TRAE","Triticum aestivum L.",,"Graminoid","Initial growth","missed",,,"NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"245FE0FEC242479EB6B27B8979E8ACFB","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06127","TRAE","Triticum aestivum L.",,"Graminoid","Open flowers","no",,,"NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"564F422AD52E4AC099F291DD22466D53","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06123","TRAE","Triticum aestivum L.",,"Graminoid","Open flowers","no",,,"NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"E5C15DDE7A154976BEC4F229163D029D","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06102","TRAE","Triticum aestivum L.",,"Graminoid","Leaves","yes","Percentage of the plant that is green.",">= 95%","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"C409534F462248F582E9DA5A38C0C2AB","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06106","TRAE","Triticum aestivum L.",,"Graminoid","Initial growth","missed",,,"NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"E88F16D74428413DA687AA3489F1945C","D10","STER","STER_017","2014-04-01",90,"NEON.PLA.D10.STER.06102","TRAE","Triticum aestivum L.",,"Graminoid","Initial growth","missed",,,"NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
