"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","addDate","dropDate","identifiedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","samplingProtocol","measuredBy","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"1C5FF7C51AD14D1087C4C559C31F20A3","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06013","POTR5","Populus tremuloides Michx.",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
"5E6D024F69924F418690417D6B590384","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06012","ACSA3","Acer saccharum Marshall",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
"306931CF030244F09ADCB937EA213D91","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06005","ACSA3","Acer saccharum Marshall",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
"D9FD881B4A3F48449B228F12B92F86D5","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06018","ACSA3","Acer saccharum Marshall",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
"325331FFEB0042B0BEE2B591BD56855D","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06002","ACSA3","Acer saccharum Marshall",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
"3C3DE477125B42CDA5CFB8D100876F3A","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06003","POTR5","Populus tremuloides Michx.",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
"F32E20F321034787B616F1A6CA861206","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06016","ACSA3","Acer saccharum Marshall",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
"3B1E00DF2384496480A3C5ECE5DDCB2F","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06015","ACSA3","Acer saccharum Marshall",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
"3B1CC6E5C89B4455BE70591E8D890224","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06009","POTR5","Populus tremuloides Michx.",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
"DAE9F2853B704352AEF34E7C71919200","D05","UNDE","UNDE_063",,,,,,,"2014-07-24",,"2014-07-24","NEON.PLA.D05.UNDE.06006","POTR5","Populus tremuloides Michx.",,"species","Deciduous broadleaf","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,1
